name,n_queries
Gallus gallus,16
Bacteroidetes bacterium,8
Gammaproteobacteria bacterium,8
Planctomycetes bacterium,8
Acidobacteria bacterium,7
Alphaproteobacteria bacterium,7
bacterium,7
Bacteroidales bacterium,7
Chloroflexi bacterium,7
Tanacetum cinerariifolium,7
Verrucomicrobia bacterium,7
"",6
Actinobacteria bacterium,6
Betaproteobacteria bacterium,6
Clostridiaceae bacterium,6
Clostridiales bacterium,6
Escherichia coli,6
Firmicutes bacterium,6
Lachnospiraceae bacterium,6
Proteobacteria bacterium,6
Ruminococcaceae bacterium,6
Anaerolineae bacterium,5
Armatimonadetes bacterium,5
Bacteroidia bacterium,5
Candidatus Marinimicrobia bacterium,5
Deltaproteobacteria bacterium,5
Euryarchaeota archaeon,5
Flavobacteriaceae bacterium,5
Gemmatimonadetes bacterium,5
Gigaspora rosea,5
Magnetococcales bacterium,5
Burkholderiales bacterium,4
Caenorhabditis remanei,4
Candidatus Aenigmarchaeota archaeon,4
Candidatus Bathyarchaeota archaeon,4
Candidatus Woesearchaeota archaeon,4
Chryseobacterium sp.,4
Clostridiales,4
Crocinitomicaceae bacterium,4
Erysipelotrichaceae bacterium,4
Exidia glandulosa HHB12029,4
Flavobacteriales bacterium,4
Flavobacterium sp.,4
Gemmatimonadaceae bacterium,4
Ignavibacteria bacterium,4
Marivirga lumbricoides,4
Penaeus vannamei,4
Phycisphaerae bacterium,4
Planctomycetaceae bacterium,4
Rhizobiales bacterium,4
Rhodobacteraceae bacterium,4
Rhodospirillaceae bacterium,4
Saprospiraceae bacterium,4
unclassified Streptomyces,4
Acetobacteraceae bacterium,3
Acidimicrobiaceae bacterium,3
Acidimicrobiia bacterium,3
Anaerolineaceae bacterium,3
archaeon,3
Aspergillus wentii DTO 134E9,3
bacterium (Candidatus Stahlbacteria),3
Bacteroides ovatus,3
Bacteroides sp.,3
Brachionus plicatilis,3
Brassica cretica,3
Bryobacteraceae bacterium,3
Cadophora sp. DSE1049,3
Caenorhabditis elegans,3
Candidatus Atribacteria bacterium,3
Candidatus Omnitrophica bacterium,3
Candidatus Saccharibacteria bacterium,3
Chelonia mydas,3
Chitinophagaceae bacterium,3
Chlorobi bacterium,3
Clostridia bacterium,3
Clunio marinus,3
Corynespora cassiicola Philippines,3
Cucurbita maxima,3
Cucurbita moschata,3
Cucurbita pepo subsp. pepo,3
Curvibacter sp.,3
Cyclopterus lumpus,3
Desulfobacteraceae bacterium,3
Diplodia seriata,3
Flavivirga rizhaonensis,3
Folsomia candida,3
Fragaria vesca subsp. vesca,3
Gigaspora margarita,3
Glomus cerebriforme,3
Listeria innocua,3
Lutibacter sp.,3
Manduca sexta,3
Methanosarcinales archaeon,3
Methylophaga sp.,3
Mytilus galloprovincialis,3
Nitrospinae bacterium,3
Nitrospirae bacterium,3
Opitutaceae bacterium,3
Ornithorhynchus anatinus,3
Oryzias melastigma,3
Papaver somniferum,3
Penicillium crustosum,3
Perca flavescens,3
Periophthalmus magnuspinnatus,3
Phytophthora fragariae,3
Phytophthora rubi,3
Prevotella sp.,3
Prunus dulcis,3
Pseudomonas,3
Pycnococcus provasolii,3
Pygocentrus nattereri,3
Raphanus sativus,3
Rhodococcus,3
Rhodospirillales bacterium,3
Rhodothermales bacterium,3
Rikenellaceae bacterium,3
Rubrivivax sp.,3
Salmonella enterica,3
SAR202 cluster bacterium,3
Scytalidium lignicola,3
Seriola dumerili,3
Sitophilus oryzae,3
Sphingobium sp.,3
Spirochaetes bacterium,3
Spirosoma oryzae,3
Spirosoma sp. CJU-R4,3
Streptomyces,3
Sus scrofa,3
Thermodesulfobacterium geofontis,3
Thielaviopsis punctulata,3
Treponema sp.,3
Uncinocarpus reesii 1704,3
unclassified Burkholderia,3
unclassified Mycobacterium,3
unclassified Pseudomonas,3
uncultured bacterium,3
Wilcoxina mikolae CBS 423.85,3
[Eubacterium] eligens,2
Acanthopagrus latus,2
Achromobacter sp. AONIH1,2
Achromobacter xylosoxidans,2
Acidilobales archaeon,2
Acidobacteria bacterium ADurb.Bin340,2
Adhaeribacter sp. DK36,2
Albugo candida,2
Alcaligenaceae bacterium,2
Alcaligenes faecalis,2
Algoriphagus formosus,2
Allomyces macrogynus ATCC 38327,2
Alteromonadaceae bacterium,2
Anaerolineales bacterium,2
Ananas comosus,2
Ananas comosus var. bracteatus,2
ANME-2 cluster archaeon,2
Aquabacter spiritensis,2
Aquilegia coerulea,2
Arachis hypogaea,2
Araneus ventricosus,2
Archocentrus centrarchus,2
Aspergillus arachidicola,2
Aspergillus felis,2
Aspergillus lentulus,2
Aspergillus neoniger CBS 115656,2
Aureimonas sp. AU4,2
Aureobasidium pullulans,2
Bacillus,2
Bacillus alveayuensis,2
Bacillus cereus,2
Bacillus cereus group,2
Bacillus mycoides,2
Bacillus thuringiensis,2
Bacteroides,2
Bacteroides coprophilus,2
Bacteroides coprophilus CAG:333,2
Bacteroides salanitronis,2
Bacteroides sp. An322,2
Bacteroides sp. CAG:530,2
Bacteroidetes bacterium MED-G20,2
Bactrocera dorsalis,2
Bactrocera latifrons,2
Bactrocera oleae,2
Balneola sp.,2
Bifiguratus adelaidae,2
Blastopirellula sp.,2
Bombyx mandarina,2
Bombyx mori,2
Botryosphaeria dothidea,2
Brachyspira sp. G79,2
Brassica napus,2
Brassica rapa,2
Brevibacillus invocatus,2
Brevibacillus sp.,2
Burkholderia cepacia complex,2
Burkholderia pseudomallei,2
Butyricimonas,2
Byssochlamys spectabilis,2
Byssochlamys spectabilis No. 5,2
Caenorhabditis brenneri,2
Caenorhabditis latens,2
Calditrichaeota bacterium,2
Calothrix sp. NIES-4101,2
Candidatus Aminicenantes bacterium,2
Candidatus Bipolaricaulota bacterium,2
Candidatus Cloacimonetes bacterium,2
Candidatus Edwardsbacteria bacterium,2
Candidatus Edwardsbacteria bacterium RifOxyC12_full_54_24,2
Candidatus Eisenbacteria bacterium,2
Candidatus Falkowbacteria bacterium,2
Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8,2
Candidatus Kapabacteria bacterium,2
Candidatus Pelagibacter ubique,2
Candidatus Poribacteria bacterium,2
Candidatus Poseidoniales archaeon,2
Candidatus Rokubacteria bacterium,2
Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_02_FULL_42_22,2
Candidatus Sulfopaludibacter sp. SbA3,2
Candidatus Woesebacteria bacterium,2
Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_43_25,2
Carboxydothermus hydrogenoformans,2
Caulochytrium protostelioides,2
Cephalotus follicularis,2
Ceratocystis fimbriata CBS 114723,2
Chelatococcus daeguensis,2
Chitinophaga pinensis,2
Chitinophaga sp. GDMCC 1.1288,2
Chitinophagia bacterium,2
Chloroflexales bacterium ZM16-3,2
Chromatiales bacterium,2
Chrysemys picta bellii,2
Chryseobacterium indoltheticum,2
Chthonomonadales bacterium,2
Cicer arietinum,2
Ciconia maguari,2
Clostridium magnum,2
Clostridium sp.,2
Clostridium sp. CAG:448,2
Colletotrichum graminicola M1.001,2
Columbina picui,2
Comamonadaceae bacterium,2
Contarinia nasturtii,2
Corallococcus coralloides,2
Cryptococcus amylolentus CBS 6039,2
Cryptococcus amylolentus CBS 6273,2
Cuculus canorus,2
Cupriavidus,2
Curvularia kusanoi,2
Cytophagaceae bacterium,2
Cytophagales bacterium,2
Daucus carota subsp. sativus,2
Dehalococcoidia bacterium,2
Deinococcus radiotolerans,2
Dendrothele bispora CBS 962.96,2
Denticeps clupeoides,2
Desulfobacterales bacterium,2
Desulfobulbaceae bacterium,2
Dysgonomonas hofstadii,2
Dysgonomonas macrotermitis,2
Dysgonomonas mossii,2
Dysgonomonas sp. 37-18,2
Dysgonomonas sp. ZJ279,2
Dysgonomonas sp. ZJ709,2
Egretta garzetta,2
Enterobacter cloacae complex sp. ECNIH14,2
Enterococcus cecorum,2
Entomophthora muscae,2
Epinephelus lanceolatus,2
Epsilonproteobacteria bacterium,2
Eragrostis curvula,2
Etheostoma spectabile,2
Eudromia elegans,2
Fibrella aestuarina,2
Flavobacteriia bacterium,2
Fomitiporia mediterranea MF3/22,2
Fuerstia sp.,2
Fusarium oxysporum f. sp. cubense tropical race 4 54006,2
Fusarium sp. AF-6,2
Gemmatimonadales bacterium,2
Geosmithia morbida,2
Gillisia sp. Hel_I_86,2
Gymnopus androsaceus JB14,2
Halomonas sp.,2
Heliornis fulica,2
Homo sapiens,2
Hordeum vulgare,2
Hypholoma sublateritium FD-334 SS-4,2
Hypoxylon sp. CO27-5,2
Ictalurus punctatus,2
