Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chain A, Receptor-type tyrosine-protein phosphatase S,Spike glycoprotein,Fibritin [Gallus gallus]",Gallus gallus,chicken,9031,52.8,52.8,100%,9e-07,100.00,1287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6ZGH_A?report=genbank&log$=prottop&blast_rank=1&RID=WVN22KES016"",""6ZGH_A"")"
spike [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55857.1?report=genbank&log$=prottop&blast_rank=2&RID=WVN22KES016"",""QIG55857.1"")"
SARS_CoV_2_ectoCSPP [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,1256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJE37812.1?report=genbank&log$=prottop&blast_rank=3&RID=WVN22KES016"",""QJE37812.1"")"
SARS CoV-2 spike protein receptor binding domain [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKY12177.1?report=genbank&log$=prottop&blast_rank=4&RID=WVN22KES016"",""QKY12177.1"")"
SpyTag/RBD fusion protein [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNS17503.1?report=genbank&log$=prottop&blast_rank=5&RID=WVN22KES016"",""QNS17503.1"")"
SARS_CoV_2RBD_his [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJE37811.1?report=genbank&log$=prottop&blast_rank=6&RID=WVN22KES016"",""QJE37811.1"")"
spike glycoprotein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,47.3,47.3,86%,8e-05,100.00,1242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60694.1?report=genbank&log$=prottop&blast_rank=7&RID=WVN22KES016"",""ACJ60694.1"")"
spike glycoprotein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,44.3,44.3,80%,0.001,100.00,1259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60703.1?report=genbank&log$=prottop&blast_rank=8&RID=WVN22KES016"",""ACJ60703.1"")"
spike glycoprotein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,44.3,44.3,80%,0.001,100.00,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60681.1?report=genbank&log$=prottop&blast_rank=9&RID=WVN22KES016"",""ACJ60681.1"")"
SARS CoV S protein [Expression vector pHCMV-SARS-S (FFM-1)],Expression vector pHCMV-SARS-S (FFM-1),Expression vector pHCMV-SARS-S (FFM-1),268479,44.3,44.3,80%,0.001,100.00,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS75868.1?report=genbank&log$=prottop&blast_rank=10&RID=WVN22KES016"",""AAS75868.1"")"
spike S [synthetic construct],synthetic construct,synthetic construct,32630,44.3,44.3,80%,0.001,100.00,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABY85258.1?report=genbank&log$=prottop&blast_rank=11&RID=WVN22KES016"",""ABY85258.1"")"
SARS CoV-1 spike protein receptor binding domain [synthetic construct],synthetic construct,synthetic construct,32630,44.3,44.3,80%,0.001,100.00,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKY12178.1?report=genbank&log$=prottop&blast_rank=12&RID=WVN22KES016"",""QKY12178.1"")"
truncated SARS coronavirus spike glycoprotein S1 subunit [Expression vector pShuttle-SN],Expression vector pShuttle-SN,Expression vector pShuttle-SN,308969,44.3,44.3,80%,0.001,100.00,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAW56614.1?report=genbank&log$=prottop&blast_rank=13&RID=WVN22KES016"",""AAW56614.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroides sp.],Bacteroides sp.,Bacteroides sp.,29523,36.3,36.3,80%,0.66,83.33,415,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD5284961.1?report=genbank&log$=prottop&blast_rank=14&RID=WVN22KES016"",""MBD5284961.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [uncultured Bacteroides sp.],uncultured Bacteroides sp.,uncultured Bacteroides sp.,162156,35.4,35.4,80%,1.3,83.33,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SCI12765.1?report=genbank&log$=prottop&blast_rank=15&RID=WVN22KES016"",""SCI12765.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroides mediterraneensis],Bacteroides mediterraneensis,Bacteroides mediterraneensis,1841856,35.4,35.4,80%,1.3,83.33,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072541768.1?report=genbank&log$=prottop&blast_rank=16&RID=WVN22KES016"",""WP_072541768.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroides ilei],Bacteroides ilei,Bacteroides ilei,1907658,35.4,35.4,80%,1.3,83.33,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072531979.1?report=genbank&log$=prottop&blast_rank=17&RID=WVN22KES016"",""WP_072531979.1"")"
flagellar biosynthetic protein FliR [Verrucomicrobia subdivision 3 bacterium],Verrucomicrobia subdivision 3 bacterium,Verrucomicrobia subdivision 3 bacterium,2052186,35.4,35.4,80%,1.3,83.33,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC8326782.1?report=genbank&log$=prottop&blast_rank=18&RID=WVN22KES016"",""MBC8326782.1"")"
