cophenetic_distance,Accession,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID,log_cophenetic_distance,studres
2.5515429686,DQ001338,0.124293785310734,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27613,"Fang,S.G., Shen,S., Tay,F.P., Liu,D.X., Fang,S., Liu,D.",16137658,"",Gallus gallus,embryo,"","Avian infectious bronchitis virus isolate IBV-EP3, complete genome",Avian coronavirus,9031,0.93669826190527,0.157605335576124
2.5523677978,FJ904722,0.11864406779661,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27614,"McKinley,E.T., Jackwood,M.W., Hilt,D.A., Kissinger,J.C., Robertson,J.S., Lemke,C., Paterson,A.H.",21539870,USA,Gallus gallus,unknown,1979,"Infectious bronchitis virus strain Mass41 1979, complete genome",Avian coronavirus,9031,0.937021476493037,0.0415795937106013
2.5656323914,EU817497,0.112994350282486,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27646,"Xiao,C.T., Shi,L., Zhou,J.Y.","",China,Gallus gallus,unknown,"","Infectious bronchitis virus strain H52, complete genome",Avian coronavirus,9031,0.94220499458995,-0.0465280645683669
2.5617428457,JF274479,0.0903954802259887,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27678,"Sun,C., Han,Z., Ma,H., Shao,Y., Kong,X., Liu,S., Liu,X., Zhang,X., Li,C., Yan,B.","",China,Gallus gallus,unknown,5/7/2007,"Infectious bronchitis virus strain ck/CH/LHLJ/07VII, complete genome",Avian coronavirus,9031,0.940687825954452,-0.526804676778405
2.5590302967,FJ904720,0.107344632768362,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27474,"McKinley,E.T., Jackwood,M.W., Hilt,D.A., Kissinger,J.C., Robertson,J.S., Lemke,C., Paterson,A.H.",21539870,USA,Gallus gallus,unknown,1965,"Infectious bronchitis virus strain Mass41 1965, complete genome",Avian coronavirus,9031,0.939628396380721,-0.179210730023114
2.5590302984,FJ904723,0.107344632768362,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27474,"McKinley,E.T., Jackwood,M.W., Hilt,D.A., Kissinger,J.C., Robertson,J.S., Lemke,C., Paterson,A.H.",21539870,USA,Gallus gallus,unknown,1985,"Infectious bronchitis virus strain Mass41 1985, complete genome",Avian coronavirus,9031,0.939628397045035,-0.17921072620729
2.5596008726,GQ504724,0.101694915254237,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27475,"Phillips,J.E., Jackwood,M.W., McKinley,E.T., Thor,S.W., Hilt,D.A., Acevedol,N.D., Williams,S.M., Kissinger,J.C., Paterson,A.H., Robertson,J.S., Lemke,C., Mckinley,E.T.",21909766,USA,Gallus gallus,unknown,1941,"Infectious bronchitis virus strain Massachusetts, complete genome",Avian coronavirus,9031,0.939851337195752,-0.295816631211571
2.5636300045,FJ904721,0.11864406779661,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27474,"McKinley,E.T., Jackwood,M.W., Hilt,D.A., Kissinger,J.C., Robertson,J.S., Lemke,C., Paterson,A.H.",21539870,USA,Gallus gallus,unknown,1972,"Infectious bronchitis virus strain Mass41 1972, complete genome",Avian coronavirus,9031,0.941424224628436,0.0668689104086612
2.5592206999,MK728875,0.107344632768362,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27455,"Oade,M., Keep,S., Freimanis,G.L., Orton,R., Britton,P., Hammond,J.A., Bickerton,E.","",United Kingdom,Gallus gallus,unknown,2012-02,"Infectious bronchitis virus strain M41-CK, complete genome",Avian coronavirus,9031,0.93970279804653,-0.178783366262602
2.5589330537,MK937830,0.101694915254237,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27485,"Sheng,J., Ren,M., Xu,L., Ma,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,"","Infectious bronchitis virus strain M41, complete genome",Avian coronavirus,9031,0.939590395717819,-0.297315529820122
2.5590999702,MH539771,0.0903954802259887,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27474,"Amarasinghe,A., De Silva Senapathi,U., Abdul-Cader,M.S., Popowich,S., Marshall,F., Cork,S.C., van der Meer,F., Gomis,S., Abdul-Careem,M.F., Senapathi,U.D.S., Papowich,S., Marshell,F., Meer,F.F.",30526618,Canada,Gallus gallus,unknown,2016,"Infectious bronchitis virus isolate IBV_SES_15AB-01, complete genome",Avian coronavirus,9031,0.939655622534168,-0.532734594826575
2.5588134157,MH539772,0.096045197740113,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27474,"Amarasinghe,A., De Silva Senapathi,U., Abdul-Cader,M.S., Popowich,S., Marshall,F., Cork,S.C., van der Meer,F., Gomis,S., Abdul-Careem,M.F., Senapathi,U.D.S., Papowich,S., Marshell,F., Meer,F.F.",30526618,Canada,Gallus gallus,unknown,2016,"Infectious bronchitis virus isolate IBV_SES_15SK-02, complete genome",Avian coronavirus,9031,0.939543641545553,-0.415476739186119
2.5589105177,KJ425504,0.0903954802259887,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27485,"Chen,L., Zhang,T., Han,Z., Liang,S., Xu,Y., Xu,Q., Chen,Y., Zhao,Y., Shao,Y., Li,H., Wang,K., Kong,X., Liu,S., Zhang,X.",26482289,China,Gallus gallus,unknown,12/5/2009,"Infectious bronchitis virus strain ck/CH/LHLJ/091205, complete genome",Avian coronavirus,9031,0.939581588883579,-0.53315991254927
2.5583934831,JF828980,0.096045197740113,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27485,"Liu,X., Shao,Y., Ma,H., Sun,C., Zhang,X., Li,C., Han,Z., Yan,B., Kong,X., Liu,S.",23178317,China,Gallus gallus,unknown,2010,"Infectious bronchitis virus strain ck/CH/LHLJ/100902, complete genome",Avian coronavirus,9031,0.93937951583821,-0.416419559881929
2.5582984175,KJ435286,0.096045197740113,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27485,"Chen,L., Zhang,T., Han,Z., Liang,S., Xu,Y., Xu,Q., Chen,Y., Zhao,Y., Shao,Y., Li,H., Wang,K., Kong,X., Liu,S., Zhang,X.",26482289,China,Gallus gallus,unknown,12/27/2011,"Infectious bronchitis virus strain ck/CH/LSD/1112150, complete genome",Avian coronavirus,9031,0.939342356829281,-0.416633019998101
2.5570139746,MK937828,0.107344632768362,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27475,"Sheng,J., Ren,M., Xu,L., Ma,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2016,"Infectious bronchitis virus strain I1124/16, complete genome",Avian coronavirus,9031,0.938840161526809,-0.183738358721581
