Accession,mean,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
AY274119,87.2200384615385,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29751,"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X.",15020242,Canada: Toronto,Homo sapiens,unknown,"","Severe acute respiratory syndrome-related coronavirus isolate Tor2, complete genome",SARS,9606
AY278487,88.3153548387097,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"","","",Homo sapiens,"","",SARS coronavirus BJ02,SARS,
AY278488,88.1254960629921,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29725,"","","",Homo sapiens,"","",SARS coronavirus BJ01,SARS,
AY278489,88.0512015503876,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29757,"","","",Homo sapiens,"","",SARS coronavirus GD01,SARS,
AY278741,87.2200384615385,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29745,"","","",Homo sapiens,"","",SARS coronavirus Urbani,SARS,
AY304486,87.928832,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"","","",Paguma larvata,"","",Civet SARS CoV SZ3/2003,SARS-like,
AY394979,88.3153548387097,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29645,"","","","","","",SARS coronavirus GZ-C,SARS,
AY394981,87.5550634920635,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29726,"","","","","","",SARS coronavirus HGZ8L1-A,SARS,
AY394995,88.2078225806452,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29765,"","","","","","",SARS coronavirus HSZ-Cc,SARS,
AY427439,87.2200384615385,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29711,"Balotta,C., Corvasce,S., Violin,M., Galli,M., Moroni,M., Vigevani,G.M., Ruan,Y.J., Salemi,M.","","",Homo sapiens,oronasopharynx,"","SARS coronavirus AS, complete genome",SARS,9606
AY485277,87.182168,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"","","","","","",SARS coronavirus Sino1-11,SARS,
AY515512,87.66216,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29731,"Yi,G.","",China,Paguma larvata,unknown,"","SARS coronavirus HC/SZ/61/03, complete genome",SARS,9675
AY559082,88.3153548387097,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29670,"","","",Homo sapiens,"","",SARS coronavirus Sin852,SARS,
