Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chain A, Receptor-type tyrosine-protein phosphatase S,Spike glycoprotein,Fibritin [Gallus gallus]",Gallus gallus,chicken,9031,49.8,49.8,100%,1e-05,100.00,1287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6ZGH_A?report=genbank&log$=prottop&blast_rank=1&RID=WC6THBM6013"",""6ZGH_A"")"
spike [synthetic construct],synthetic construct,synthetic construct,32630,49.8,49.8,100%,1e-05,100.00,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55857.1?report=genbank&log$=prottop&blast_rank=2&RID=WC6THBM6013"",""QIG55857.1"")"
SARS_CoV_2_ectoCSPP [synthetic construct],synthetic construct,synthetic construct,32630,49.8,49.8,100%,1e-05,100.00,1256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJE37812.1?report=genbank&log$=prottop&blast_rank=3&RID=WC6THBM6013"",""QJE37812.1"")"
surface glycoprotein [synthetic construct],synthetic construct,synthetic construct,32630,49.8,49.8,100%,1e-05,100.00,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNL09184.1?report=genbank&log$=prottop&blast_rank=4&RID=WC6THBM6013"",""QNL09184.1"")"
spike glycoprotein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,46.9,46.9,100%,1e-04,93.33,1259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60703.1?report=genbank&log$=prottop&blast_rank=5&RID=WC6THBM6013"",""ACJ60703.1"")"
spike glycoprotein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,46.9,46.9,100%,1e-04,93.33,1242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60694.1?report=genbank&log$=prottop&blast_rank=6&RID=WC6THBM6013"",""ACJ60694.1"")"
spike glycoprotein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,42.2,42.2,93%,0.005,85.71,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60681.1?report=genbank&log$=prottop&blast_rank=7&RID=WC6THBM6013"",""ACJ60681.1"")"
SARS CoV S protein [Expression vector pHCMV-SARS-S (FFM-1)],Expression vector pHCMV-SARS-S (FFM-1),Expression vector pHCMV-SARS-S (FFM-1),268479,42.2,42.2,93%,0.005,85.71,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS75868.1?report=genbank&log$=prottop&blast_rank=8&RID=WC6THBM6013"",""AAS75868.1"")"
spike S [synthetic construct],synthetic construct,synthetic construct,32630,42.2,42.2,93%,0.005,85.71,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABY85258.1?report=genbank&log$=prottop&blast_rank=9&RID=WC6THBM6013"",""ABY85258.1"")"
L1 protein [Human papillomavirus 113],Human papillomavirus 113,Human papillomavirus 113,587351,34.6,34.6,66%,2.7,100.00,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAW42276.1?report=genbank&log$=prottop&blast_rank=10&RID=WC6THBM6013"",""CAW42276.1"")"
