Accession,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
MN996532,0.988700564971751,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29855,"Zhou,P., Yang,X.-L., Wang,X.-G., Hu,B., Zhang,L., Zhang,W., Si,H.-R., Zhu,Y., Li,B., Huang,C.-L., Chen,H.-D., Chen,J., Luo,Y., Guo,H., Jiang,R.-D., Liu,M.-Q., Chen,Y., Shen,X.-R., Wang,X., Zheng,X.-S., Zhao,K., Chen,Q.-J., Deng,F., Liu,L.-L., Yan,B., Zhan,F.-X., Wang,Y.-Y., Xiao,G.-F., Shi,Z.-L., Yu,P., Si,H.R., Yang,X.L., Shi,Z.L.","",China,Rhinolophus affinis,feces,7/24/2013,"Bat coronavirus RaTG13, complete genome",Bat Coronavirus RaTG13,59477
EPIISL410721,0.92090395480226,SARS-like,Betacoronavirus,Betacoronavirus,,"","","",Manis javanica,"",2019,"",SARS-like,
MT040335,0.915254237288136,Pangolin coronavirus,Betacoronavirus,Betacoronavirus,29806,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.","",China,Manis javanica,unknown,2017,"Pangolin coronavirus isolate PCoV_GX-P5L, complete genome",Pangolin coronavirus,9974
MT040336,0.915254237288136,Pangolin coronavirus,Betacoronavirus,Betacoronavirus,29802,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.","",China,Manis javanica,unknown,2017,"Pangolin coronavirus isolate PCoV_GX-P5E, complete genome",Pangolin coronavirus,9974
MT040333,0.909604519774011,Pangolin coronavirus,Betacoronavirus,Betacoronavirus,29805,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.","",China,Manis javanica,unknown,2017,"Pangolin coronavirus isolate PCoV_GX-P4L, complete genome",Pangolin coronavirus,9974
MT040334,0.903954802259887,Pangolin coronavirus,Betacoronavirus,Betacoronavirus,29801,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.","",China,Manis javanica,unknown,2017,"Pangolin coronavirus isolate PCoV_GX-P1E, complete genome",Pangolin coronavirus,9974
MT072864,0.903954802259887,Pangolin coronavirus,Betacoronavirus,Betacoronavirus,29795,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.","",China,Manis pentadactyla,unknown,2018,"Pangolin coronavirus isolate PCoV_GX-P2V, complete genome",Pangolin coronavirus,143292
MG772933,0.892655367231638,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29802,"Hu,D., Zhu,C., Ai,L., He,T., Wang,Y., Ye,F., Yang,L., Ding,C., Zhu,X., Lv,R., Zhu,J., Hassan,B., Feng,Y., Tan,W., Wang,C.",30209269,China,Rhinolophus sinicus,unknown,2017-02,"Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome",Bat SARS-like,89399
MG772934,0.892655367231638,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29732,"Hu,D., Zhu,C., Ai,L., He,T., Wang,Y., Ye,F., Yang,L., Ding,C., Zhu,X., Lv,R., Zhu,J., Hassan,B., Feng,Y., Tan,W., Wang,C.",30209269,China,Rhinolophus sinicus,unknown,2015-07,"Bat SARS-like coronavirus isolate bat-SL-CoVZXC21, complete genome",Bat SARS-like,89399
EPIISL412977,0.84180790960452,SARS-like,Betacoronavirus,Betacoronavirus,,"","","",Rhinolophus malayanus,Faeces,25/06/2019,"",SARS-like,
KY417152,0.768361581920904,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29769,"Hu,B., Zeng,L.P., Yang,X.L., Ge,X.Y., Zhang,W., Li,B., Xie,J.Z., Shen,X.R., Zhang,Y.Z., Wang,N., Luo,D.S., Zheng,X.S., Wang,M.N., Daszak,P., Wang,L.F., Cui,J., Shi,Z.L., Wang,L.",29190287,China,Rhinolophus sinicus,unknown,10/16/2015,"Bat SARS-like coronavirus isolate Rs9401, complete genome",SARS-like,89399
KC881005,0.768361581920904,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29787,"Ge,X.Y., Li,J.L., Yang,X.L., Chmura,A.A., Zhu,G., Epstein,J.H., Mazet,J.K., Hu,B., Zhang,W., Peng,C., Zhang,Y.J., Luo,C.M., Tan,B., Wang,N., Zhu,Y., Crameri,G., Zhang,S.Y., Wang,L.F., Daszak,P., Shi,Z.L., Ge,X.-Y., Li,J.-L., Yang,X.-L., Zhang,Y.-J., Luo,C.-M., Wang,L.-F., Shi,Z.-L.",24172901,China,Rhinolophus sinicus,unknown,4/17/2011,"Bat SARS-like coronavirus RsSHC014, complete genome",Bat SARS-like,89399
KC881006,0.768361581920904,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29792,"Ge,X.Y., Li,J.L., Yang,X.L., Chmura,A.A., Zhu,G., Epstein,J.H., Mazet,J.K., Hu,B., Zhang,W., Peng,C., Zhang,Y.J., Luo,C.M., Tan,B., Wang,N., Zhu,Y., Crameri,G., Zhang,S.Y., Wang,L.F., Daszak,P., Shi,Z.L., Ge,X.-Y., Li,J.-L., Yang,X.-L., Zhang,Y.-J., Luo,C.-M., Wang,L.-F., Shi,Z.-L.",24172901,China,Rhinolophus sinicus,unknown,3/19/2012,"Bat SARS-like coronavirus Rs3367, complete genome",Bat SARS-like,89399
KF367457,0.768361581920904,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30309,"Ge,X.Y., Li,J.L., Yang,X.L., Chmura,A.A., Zhu,G., Epstein,J.H., Mazet,J.K., Hu,B., Zhang,W., Peng,C., Zhang,Y.J., Luo,C.M., Tan,B., Wang,N., Zhu,Y., Crameri,G., Zhang,S.Y., Wang,L.F., Daszak,P., Shi,Z.L., Ge,X.-Y., Li,J.-L., Yang,X.-L., Zhang,Y.-J., Luo,C.-M., Zhang,S.-Y., Wang,L.-F., Shi,Z.-L.",24172901,China,Rhinolophus sinicus,unknown,2012-09,"Bat SARS-like coronavirus WIV1, complete genome",Bat SARS-like,89399
