cophenetic_distance,Accession,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID,log_cophenetic_distance,studres
2.5515429686,DQ001338,0.124293785310734,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27613,"Fang,S.G., Shen,S., Tay,F.P., Liu,D.X., Fang,S., Liu,D.",16137658,"",Gallus gallus,embryo,"","Avian infectious bronchitis virus isolate IBV-EP3, complete genome",Avian coronavirus,9031,0.93669826190527,-0.129101898534786
2.6421888642,MK423876,0.11864406779661,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27655,"Xu,L., Ren,M., Jiang,L., Han,Z., Liu,S.","",China,Phasianus colchicus,unknown,2017,"Pheasant coronavirus strain gammaCoV/ph/China/I0710/17, complete genome",Avian coronavirus,9054,0.971607688859336,-0.0594953212904068
2.6375780145,JF705860,0.107344632768362,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27673,"Yao,S., Liu,X., Zhao,S., Wang,X., Zhou,X.","",China,Anas platyrhynchos,unknown,2004-05,"Duck coronavirus isolate DK/CH/HN/ZZ2004, complete genome",Avian coronavirus,8839,0.969861077322082,-0.261571777410992
2.5092383643,KR822424,0.141242937853107,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27739,"Brown,P.A., Touzain,F., Briand,F.X., Ar Gouilh,M., Courtillon,C., Allee,C., Lemaitre,E., De Boisseson,C., Blanchard,Y., Eterradossi,N., Briand,F.-X.",26585962,France,Meleagris gallopavo,unknown,2008,"European turkey coronavirus 080385d, complete genome",Avian coronavirus,9103,0.919979266578375,0.0816878992353087
2.3920617703,KM454473,0.152542372881356,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27754,"Zhuang,Q.Y., Wang,K.C., Liu,S., Hou,G.Y., Jiang,W.M., Wang,S.C., Li,J.P., Yu,J.M., Chen,J.M., Zhuang,Q., Wang,K., Hou,G., Jiang,W., Wang,S., Li,J., Yu,J., Chen,J.",26053682,China,Anatidae,unknown,2014,"Duck coronavirus isolate DK/GD/27/2014, complete genome",Avian coronavirus,,0.872155659458972,0.0473313224692707
2.4672438614,MK359255,0.107344632768362,Canada goose coronavirus,Gammacoronavirus,Gammacoronavirus,28539,"Papineau,A., Berhane,Y., Wylie,T.N., Wylie,K.M., Sharpe,S., Lung,O., Wylie,T., Wylie,K.",30976080,Canada,Branta canadensis,feces,2017-08,"Canada goose coronavirus strain Cambridge_Bay_2017, complete genome",Canada goose coronavirus,8853,0.903101682033649,-0.580292907763316
2.69867559,EU111742,0.101694915254237,Beluga whale coronavirus SW1,Gammacoronavirus,Gammacoronavirus,31686,"Mihindukulasuriya,K.A., Wu,G., St Leger,J., Nordhausen,R.W., Wang,D., St. Leger,J.",18353961,"",Delphinapterus leucas,unknown,"","Coronavirus SW1, complete genome",Beluga whale coronavirus SW1,9749,0.992761130442679,-0.249237430724765
2.6857929984,MN690608,0.096045197740113,Bottlenose dolphin coronavirus,Unknown,Gammacoronavirus,31728,"Wang,L., Novick,B., Parry,C., McClain,A., Ross,K.","",USA,Tursiops truncatus,feces,"","Bottlenose dolphin coronavirus strain 37112-1, complete genome",Bottlenose dolphin coronavirus,9739,0.987976028266015,-0.369012088189028
2.4155327989,DQ010921,0.101694915254237,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,29147,"Dye,C., Siddell,S.G.",16033972,"",Felis catus,unknown,"","Feline coronavirus strain FIPV 79-1146, complete genome",Alphacoronavirus 1,9685,0.881919883433902,-0.778864823027752
2.4152535373,KC175339,0.107344632768362,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,29270,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Regan,A., Wentworth,D.E., Whittaker,G.","",Germany,Canis lupus familiaris,unknown,1971,"Canine coronavirus strain 171, complete genome",Alphacoronavirus 1,9615,0.881804265983294,-0.682134945923816
2.3836630711,DQ201447,0.101694915254237,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,28548,"Cheng,J., Liu,J.-X., Wu,R., Li,J.-Q.","","",Sus scrofa,unknown,"","Transmissible gastroenteritis virus strain TS, complete genome",Alphacoronavirus 1,9823,0.868638409978608,-0.84251211229222
2.5859724636,DQ848678,0.141242937853107,Alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,29277,"Dye,C., Siddell,S.G.","","",Felis Catus,abdominal cavity,"","Feline coronavirus strain FCoV C1Je, complete genome",Alphacoronavirus 1,9685,0.950101632033112,0.225358258576294
2.5950680336,MH817484,0.129943502824859,Feline alphacoronavirus 1,Alphacoronavirus,Alphacoronavirus,29137,"Barros,B.C.V., Castro,C.M.O., Pereira,D., Ribeiro,L.G., Junior,J.W.D., Casseb,S.M.M., Holanda,G.M., Cruz,A.C.R., Junior,E.C.S., Mascarenhas,J.D.P.","",Brazil,Felis catus,unknown,2015,"Feline Alphacoronavirus 1 strain FCoV-SB22, complete genome",Feline alphacoronavirus 1,9685,0.953612733461085,0.048387847247265
2.4182754903,HM245925,0.124293785310734,Mink coronavirus 1,Alphacoronavirus,Alphacoronavirus,28941,"Vlasova,A.N., Halpin,R., Wang,S., Ghedin,E., Spiro,D.J., Saif,L.J., Spiro,D., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A., Saif,L.",21346029,USA: Wisconsin,Neovison vison,unknown,1/1/1998,"Mink coronavirus strain WD1127, complete genome",Mink coronavirus 1,452646,0.883054678829266,-0.384951326004769
2.4428488262,HM245926,0.129943502824859,Alphacoronavirus 2,Alphacoronavirus,Alphacoronavirus,28915,"Vlasova,A.N., Halpin,R., Wang,S., Ghedin,E., Spiro,D.J., Saif,L.J., Spiro,D., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A., Saif,L.",21346029,USA: Minnesota,Neovison vison,unknown,1/1/1998,"Mink coronavirus strain WD1133, complete genome",Alphacoronavirus 2,452646,0.893164909967973,-0.239822636821095
